"SHOALS 8 S, IN",-86.7944,38.5528,154.2,1215,1711,1486,1705,2077,2277,1042,1610,119,1489,918,787
"VINCENNES 5 NE, IN",-87.4878,38.7386,137.2,753,1817,1291,1878,2007,1149,1763,1276,170,1388,1006,842
"WASHINGTON 1 W, IN",-87.1989,38.6489,152.4,1103,1505,1633,1475,1822,1778,1074,1175,89,1359,1275,1046
"WHITESTOWN, IN",-86.3542,39.9961,289,693,790,502,1053,1146,1033,251,679,138,572,150,302
"WINAMAC 2SSE, IN",-86.5867,41.0267,210.3,794,679,770,1776,1462,736,570,734,1654,932,447,766
"ALBIA 3 NNE, IA",-92.7867,41.0656,268.2,654,658,698,966,2614,1376,796,1368,1503,638,320,237
"ALGONA 3 W, IA",-94.3053,43.0683,377.6,110,595,552,1029,1828,757,1172,929,1131,1352,605,410
"BELLE PLAINE, IA",-92.2764,41.8814,246.9,589,362,417,862,1826,919,330,1019,1142,1761,285,307
"CHARLES CITY, IA",-92.6714,43.0775,309.1,234,497,292,985,1963,632,1292,557,1220,1667,487,113
"CLARINDA, IA",-95.0192,40.7244,298.7,285,494,893,302,2476,750,1197,790,2022,1268,158,226
"CLINTON #1, IA",-90.2639,41.7947,178.3,602,683,463,1535,2457,831,1023,1157,2463,907,496,216
"ESTHERVILLE 2 N, IA",-94.8219,43.43,396.8,104,383,411,998,1674,1073,1470,797,1601,1220,480,289
"FAIRFIELD, IA",-91.9553,41.0211,225.6,746,807,626,713,2928,872,551,736,1955,500,292,232
"FAYETTE, IA",-91.8158,42.8503,344.4,243,413,218,435,1370,931,1229,709,1856,1597,526,313
"FOREST CITY 2 NNE, IA",-93.6306,43.2844,396.2,,,,807,2203,616,760,526,1695,1654,429,94
"FORT DODGE 5NNW, IA",-94.2006,42.5836,347.5,254,635,676,883,1623,1207,1464,655,1354,1391,285,362
"INDIANOLA 2W, IA",-93.6481,41.3656,287.1,267,414,421,423,2736,801,784,1275,1413,1831,254,285
"IOWA FALLS, IA",-93.2536,42.5189,344.4,241,528,446,973,1739,953,1397,1408,1663,1576,413,479
"LE MARS, IA",-96.1458,42.7817,364.2,24,369,592,1130,1815,617,1092,961,1024,1228,686,520
"LOGAN, IA",-95.7883,41.6381,301.8,61,525,921,383,2092,838,498,925,1695,1471,288,511
"MT AYR, IA",-94.2428,40.7053,359.7,214,621,1117,762,2976,1000,856,1036,1563,1132,234,450
"MT PLEASANT 1 SSW, IA",-91.5647,40.9486,222.5,745,773,725,828,3475,1370,396,780,2273,680,434,355
"NEW HAMPTON, IA",-92.3122,43.0453,349.9,414,699,339,991,2379,1652,1184,737,1216,1536,563,79
"ROCK RAPIDS, IA",-96.1686,43.43,411.5,38,439,661,1493,1813,1113,2076,443,1161,1234,434,316
"ROCKWELL CITY, IA",-94.6292,42.3969,364.2,76,164,249,547,2318,1478,1042,703,875,1049,211,403
"STORM LAKE 2 E, IA",-95.1694,42.6347,434.3,6,,701,987,1980,1082,805,,,1084,557,43
"TOLEDO 3N, IA",-92.5806,42.0356,289.3,273,601,297,533,2176,1236,652,802,1089,1417,332,248
"WASHINGTON, IA",-91.7067,41.2828,210.3,619,792,481,863,2530,917,272,563,1569,458,314,343
"ANTHONY, KS",-98.0283,37.155,408.4,295,204,526,1099,3516,1664,23,1095,488,1437,175,259
"ASHLAND, KS",-99.7633,37.1942,600.5,145,208,511,112,3137,1050,567,724,8,312,84,346
"ATCHISON, KS",-95.1108,39.5756,288,417,589,822,460,2610,1780,495,1896,714,805,202,399
"COLDWATER, KS",-99.3272,37.2706,634.9,132,157,464,134,3247,518,343,1331,121,343,117,292
"COLUMBUS, KS",-94.8397,37.1764,275.8,727,512,764,458,5123,2559,737,2946,1115,1058,450,440
"EL DORADO, KS",-96.8444,37.8183,393.2,382,287,870,863,4072,2016,204,2587,645,820,231,498
"ELLSWORTH, KS",-98.2267,38.7278,466.3,457,171,716,307,2581,800,808,1821,124,414,209,382
"FT SCOTT, KS",-94.7086,37.8428,257.6,426,365,819,542,3841,1430,860,3684,,,,
"HAYS 1 S, KS",-99.3358,38.8586,612.6,224,196,280,203,2047,482,242,2703,430,381,126,549
"HORTON, KS",-95.5225,39.6703,313.9,349,291,1012,584,3303,1381,513,2949,784,629,159,432
"INDEPENDENCE, KS",-95.7003,37.2364,245.4,625,487,668,531,4260,2182,1447,2925,985,999,384,221
"JETMORE 8NNW, KS",-99.9181,38.1964,740.7,274,216,330,18,2203,732,310,668,69,409,99,383
"LAKIN, KS",-101.2492,37.9411,913.8,160,166,453,13,1624,499,168,375,51,51,86,0
"LAWRENCE, KS",-95.2514,38.9583,306.3,269,303,512,1181,2574,2049,505,4767,951,591,384,417
"LIBERAL, KS",-100.9294,37.0222,863.8,150,191,328,148,1421,800,865,864,107,330,64,361
"MANHATTAN, KS",-96.5814,39.1972,324.6,186,435,639,428,3590,1807,1100,2591,1166,873,187,406
"MCPHERSON, KS",-97.6097,38.3772,463.3,316,332,462,878,2798,1365,333,1425,101,473,56,388
"MINNEAPOLIS, KS",-97.7047,39.1247,402.9,241,349,639,410,3046,825,341,1889,536,351,192,315
"NORTON 9SSE, KS",-99.8356,39.7408,719.3,194,107,534,198,2143,872,375,1094,394,133,346,224
"OBERLIN, KS",-100.5331,39.8183,795.5,89,205,580,102,2059,890,592,1497,339,272,259,287
"OTTAWA, KS",-95.2808,38.6133,280.1,819,470,813,1116,3889,1946,419,4648,1054,536,318,391
"SAINT FRANCIS, KS",-101.8097,39.7675,1024.7,,35,149,81,907,879,361,1491,204,71,157,119
"SCOTT CITY, KS",-100.9189,38.4819,905.3,206,261,565,69,1405,407,557,880,313,71,130,196
"SEDAN, KS",-96.1861,37.1317,274.3,582,340,,,,,,1680,1229,875,327,181
"SMITH CTR, KS",-98.7783,39.7772,542.5,107,220,400,23,1349,742,1112,1161,313,551,160,530
